ID,Name,Latitude,Longitude
166,Notting Hill Gate,51.509,-0.197
167,Oakwood,51.6475,-0.1317
168,Old Street,51.5258,-0.0871
169,Osterley,51.4814,-0.3522
170,Oval,51.4819,-0.1125
171,Oxford Circus,51.5152,-0.1416
172,Paddington BCD,51.5154,-0.1754
173,Paddington CH,51.5186,-0.1784
174,Park Royal,51.5269,-0.2842
175,Parsons Green,51.4753,-0.2011
176,Perivale,51.5366,-0.3233
177,Piccadilly Circus,51.5101,-0.134
178,Pimlico,51.4894,-0.1333
179,Pinner,51.5928,-0.3806
180,Plaistow,51.5314,0.0172
181,Preston Road,51.5722,-0.2953
182,Putney Bridge,51.4683,-0.2088
183,Queens Park,51.5339,-0.2063
184,Queensbury,51.5942,-0.2862
185,Queensway,51.5104,-0.1872
186,Ravenscourt Park,51.4942,-0.2358
187,Rayners Lane,51.5753,-0.3714
188,Redbridge,51.5757,0.0449
189,Regents Park,51.5235,-0.1464
190,Richmond,51.463,-0.3
191,Rickmansworth,51.6403,-0.4733
192,Roding Valley,51.6169,0.0439
193,Royal Oak,51.5192,-0.1881
194,Ruislip,51.5714,-0.4211
195,Ruislip Gardens,51.5602,-0.4102
196,Ruislip Manor,51.5733,-0.4125
197,Russell Square,51.5231,-0.1244
198,St Jamess Park,51.4994,-0.1344
199,St Johns Wood,51.5347,-0.1742
200,St Pauls,51.5148,-0.0975
201,Seven Sisters,51.5822,-0.0753
202,Shepherds Bush,51.5044,-0.2188
203,Shepherds Bush Market,51.5058,-0.2264
204,Sloane Square,51.4925,-0.1566
205,Snaresbrook,51.5808,0.0217
206,South Ealing,51.5011,-0.3072
207,South Harrow,51.5647,-0.3522
208,South Kensington,51.4941,-0.1738
209,South Kenton,51.5708,-0.3087
210,South Ruislip,51.5565,-0.3988
211,South Wimbledon,51.4154,-0.1919
212,South Woodford,51.5916,0.0275
213,Southfields,51.445,-0.207
214,Southgate,51.6325,-0.1281
215,Southwark,51.503,-0.105
216,Stamford Brook,51.495,-0.2458
217,Stanmore,51.6194,-0.3028
218,Stepney Green,51.5219,-0.0464
219,Stockwell,51.4725,-0.122
220,Stonebridge Park,51.5441,-0.2754
221,Stratford,51.5422,-0.0033
222,Sudbury Hill,51.5569,-0.3364
223,Sudbury Town,51.5508,-0.3156
224,Swiss Cottage,51.5431,-0.1747
225,Temple,51.5111,-0.1144
226,Theydon Bois,51.6717,0.1033
227,Tooting Bec,51.4358,-0.159
228,Tooting Broadway,51.4278,-0.168
229,Tottenham Court Road,51.5162,-0.1309
230,Tottenham Hale,51.5883,-0.0597
231,Totteridge & Whetstone,51.6306,-0.1792
232,Tower Hill,51.51,-0.076
233,Tufnell Park,51.5567,-0.1381
234,Turnham Green,51.4953,-0.255
235,Turnpike Lane,51.5904,-0.1028
236,Upminster,51.559,0.2511
237,Upminster Bridge,51.558,0.2341
238,Upney,51.5386,0.1014
239,Upton Park,51.535,0.0344
240,Uxbridge,51.5459,-0.4783
241,Vauxhall,51.4854,-0.1229
242,Victoria,51.4952,-0.1441
243,Walthamstow Central,51.5831,-0.0197
244,Wanstead,51.575,0.028
245,Warren Street,51.5247,-0.1383
246,Warwick Avenue,51.5233,-0.1837
247,Waterloo,51.5025,-0.113
248,Watford,51.6575,-0.4175
249,Wembley Central,51.5526,-0.2966
250,Wembley Park,51.5636,-0.2794
251,West Acton,51.5181,-0.2808
252,West Brompton,51.4866,-0.1957
253,West Finchley,51.6094,-0.1883
254,West Ham,51.528,0.004
255,West Hampstead,51.5469,-0.1906
256,West Harrow,51.5797,-0.3533
257,West Kensington,51.4908,-0.2063
258,West Ruislip,51.5696,-0.4373
259,Westbourne Park,51.5211,-0.2011
260,Westminster,51.501,-0.125
261,White City,51.5121,-0.2246
262,Whitechapel,51.519,-0.061
263,Willesden Green,51.5492,-0.2217
264,Willesden Junction,51.5327,-0.2455
265,Wimbledon,51.4232,-0.2043
266,Wimbledon Park,51.434,-0.2
267,Wood Green,51.597,-0.11
268,Wood Lane,51.5098,-0.2242
269,Woodford,51.606,0.0341
270,Woodside Park,51.6181,-0.1856
271,Nine Elms,51.4800,-0.1285
272,Battersea Power Station,51.4795,-0.1420
