STATION 1,S1_ID,STATION 2,S2_ID,LINE,MILES,KILOMETERS,DEPRECATION
WARREN STREET,245,OXFORD CIRCUS,171,Victoria,0.56,0.9,Active
OXFORD CIRCUS,171,GREEN PARK,92,Victoria,0.71,1.14,Active
GREEN PARK,92,VICTORIA,242,Victoria,0.68,1.09,Active
VICTORIA,242,PIMLICO,178,Victoria,0.74,1.19,Active
PIMLICO,178,VAUXHALL,241,Victoria,0.5,0.8,Active
VAUXHALL,241,STOCKWELL,219,Victoria,1.1,1.77,Active
STOCKWELL,219,BRIXTON,30,Victoria,0.91,1.46,Active
WATERLOO,247,BANK,12,Waterloo & City,1.47,2.37,Active
STANMORE,217,CANONS PARK,40,Jubilee,0.79,1.27,Active
CANONS PARK,40,QUEENSBURY,184,Jubilee,1.06,1.71,Active
QUEENSBURY,184,KINGSBURY,129,Jubilee,0.83,1.33,Active
KINGSBURY,129,WEMBLEY PARK,250,Jubilee,1.77,2.85,Active
WEMBLEY PARK,250,NEASDEN,154,Jubilee,1.42,2.28,Active
NEASDEN,154,DOLLIS HILL,60,Jubilee,0.53,0.85,Active
DOLLIS HILL,60,WILLESDEN GREEN,263,Jubilee,0.75,1.21,Active
WILLESDEN GREEN,263,KILBURN,127,Jubilee,0.74,1.19,Active
KILBURN,127,WEST HAMPSTEAD,255,Jubilee,0.68,1.09,Active
WEST HAMPSTEAD,255,FINCHLEY ROAD,81,Jubilee,0.38,0.61,Active
FINCHLEY ROAD,81,SWISS COTTAGE,224,Jubilee,0.38,0.61,Active
SWISS COTTAGE,224,ST JOHNS WOOD,199,Jubilee,0.57,0.92,Active
ST JOHNS WOOD,199,BAKER STREET,10,Jubilee,1.28,2.06,Active
BAKER STREET,10,BOND STREET,24,Jubilee,1.03,1.66,Active
BOND STREET,24,GREEN PARK,92,Jubilee,0.85,1.37,Active
GREEN PARK,92,WESTMINSTER,260,Jubilee,0.83,1.34,Active
WESTMINSTER,260,WATERLOO,247,Jubilee,0.6,0.96,Active
WATERLOO,247,SOUTHWARK,215,Jubilee,0.27,0.44,Active
SOUTHWARK,215,LONDON BRIDGE,140,Jubilee,0.78,1.26,Active
LONDON BRIDGE,140,BERMONDSEY,20,Jubilee,1.2,1.93,Active
BERMONDSEY,20,CANADA WATER,36,Jubilee,0.66,1.06,Active
CANADA WATER,36,CANARY WHARF,37,Jubilee,1.5,2.41,Active
CANARY WHARF,37,NORTH GREENWICH,158,Jubilee,1.06,1.71,Active
NORTH GREENWICH,158,CANNING TOWN,38,Jubilee,1.06,1.71,Active
CANNING TOWN,38,WEST HAM,254,Jubilee,0.98,1.58,Active
WEST HAM,254,STRATFORD,221,Jubilee,0.96,1.54,Active
EDGWARE,69,BURNT OAK,33,Northern,0.91,1.47,Active
BURNT OAK,33,COLINDALE,53,Northern,0.81,1.31,Active
COLINDALE,53,HENDON CENTRAL,106,Northern,1.31,2.1,Active
HENDON CENTRAL,106,BRENT CROSS,29,Northern,0.68,1.1,Active
BRENT CROSS,29,GOLDERS GREEN,86,Northern,0.96,1.55,Active
GOLDERS GREEN,86,HAMPSTEAD,97,Northern,1.45,2.34,Active
HAMPSTEAD,97,BELSIZE PARK,19,Northern,0.75,1.2,Active
BELSIZE PARK,19,CHALK FARM,42,Northern,0.68,1.1,Active
CHALK FARM,42,CAMDEN TOWN,35,Northern,0.53,0.85,Active
HIGH BARNET,107,TOTTERIDGE & WHETSTONE,231,Northern,1.53,2.46,Active
TOTTERIDGE & WHETSTONE,231,WOODSIDE PARK,270,Northern,0.93,1.5,Active
WOODSIDE PARK,270,WEST FINCHLEY,253,Northern,0.61,0.98,Active
WEST FINCHLEY,253,FINCHLEY CENTRAL,80,Northern,0.71,1.14,Active
MILL HILL EAST,148,FINCHLEY CENTRAL,80,Northern,0.94,1.52,Active
FINCHLEY CENTRAL,80,EAST FINCHLEY,65,Northern,1.5,2.42,Active
EAST FINCHLEY,65,HIGHGATE,109,Northern,1.01,1.63,Active
HIGHGATE,109,ARCHWAY,7,Northern,1.06,1.7,Active
ARCHWAY,7,TUFNELL PARK,233,Northern,0.55,0.88,Active
TUFNELL PARK,233,KENTISH TOWN,124,Northern,0.5,0.8,Active
KENTISH TOWN,124,CAMDEN TOWN,35,Northern,0.71,1.15,Active
CAMDEN TOWN,35,MORNINGTON CRESCENT,153,Northern,0.4,0.64,Active
MORNINGTON CRESCENT,153,EUSTON,76,Northern,0.51,0.82,Active
EUSTON,76,WARREN STREET,245,Northern,0.36,0.58,Active
WARREN STREET,245,GOODGE STREET,88,Northern,0.29,0.46,Active
GOODGE STREET,88,TOTTENHAM COURT ROAD,229,Northern,0.39,0.62,Active
TOTTENHAM COURT ROAD,229,LEICESTER SQUARE,136,Northern,0.25,0.4,Active
LEICESTER SQUARE,136,CHARING CROSS,44,Northern,0.29,0.46,Active
CHARING CROSS,44,EMBANKMENT,74,Northern,0.17,0.27,Active
EMBANKMENT,74,WATERLOO,247,Northern,0.44,0.7,Active
WATERLOO,247,KENNINGTON,121,Northern,1.17,1.89,Active
CAMDEN TOWN,35,EUSTON,76,Northern,1.06,1.71,Active
EUSTON,76,KINGS CROSS ST PANCRAS,130,Northern,0.38,0.61,Active
KINGS CROSS ST PANCRAS,130,ANGEL,6,Northern,0.86,1.38,Active
ANGEL,6,OLD STREET,168,Northern,0.89,1.44,Active
OLD STREET,168,MOORGATE,150,Northern,0.43,0.69,Active
MOORGATE,150,BANK,12,Northern,0.51,0.82,Active
BANK,12,LONDON BRIDGE,140,Northern,0.43,0.69,Active
LONDON BRIDGE,140,BOROUGH,25,Northern,0.42,0.67,Active
